0	1
у меня все хорошо .	i m okay .
я в порядке .	i m okay .
у меня все в порядке .	i m okay .
я бедная .	i m poor .
я бедныи .	i m poor .
я богат .	i m rich .
я богата .	i m rich .
я богатая .	i m rich .
я богатыи .	i m rich .
я в безопасности .	i m safe .
я болен .	i m sick .
я болею .	i m sick .
я больна .	i m sick .
я медлительныи .	i m slow .
я медленныи .	i m slow .
я медленная .	i m slow .
я медлительная .	i m slow .
я уверена .	i m sure .
я убежден .	i m sure .
я высокии .	i m tall .
я высокая .	i m tall .
я худои .	i m thin .
я опрятныи .	i m tidy .
я опрятная .	i m tidy .
я уродина .	i m ugly .
я некрасивая .	i m ugly .
я некрасивыи .	i m ugly .
я безобразен .	i m ugly .
я безобразна .	i m ugly .
мне тепло .	i m warm .
я слаб .	i m weak .
я слаба .	i m weak .
я слабыи .	i m weak .
я слабая .	i m weak .
со мнои все хорошо .	i m well .
я умныи .	i m wise .
мы в порядке .	we re ok .
он болен .	he is ill .
он болеет .	he is ill .
он диджеи .	he s a dj .
он занят .	he s busy .
он хорошии .	he s good .
он ленивыи .	he s lazy .
он мои .	he s mine .
он богатыи .	he s rich .
он богат .	he s rich .
мне холодно .	i am cold .
я замерз .	i am cold .
я замерзла .	i am cold .
я наелся .	i am full .
я сыт .	i am full .
я наелась .	i am full .
я хорошии .	i am good .
я хорошая .	i am good .
я заблудился .	i am lost .
я заблудилась .	i am lost .
со мнои все в порядке .	i am okay .
у меня все хорошо .	i am okay .
я в порядке .	i am okay .
у меня все в порядке .	i am okay .
я болен .	i am sick .
мне дурно .	i am sick .
я болею .	i am sick .
я больна .	i am sick .
я уверена .	i am sure .
я убежден .	i am sure .
я высокии .	i am tall .
я высокая .	i am tall .
у меня все хорошо .	i am well .
я в порядке .	i am well .
я дипломированныи бухгалтер .	i m a cpa .
я полицеиская .	i m a cop .
я фанат .	i m a fan .
я фанатка .	i m a fan .
я мужчина .	i m a man .
я человек .	i m a man .
я мужик .	i m a man .
я монахиня .	i m a nun .
я профи .	i m a pro .
я шпионка .	i m a spy .
я шпион .	i m a spy .
я ветеран .	i m a vet .
я ветеринар .	i m a vet .
я жив .	i m alive .
я жива .	i m alive .
я живои .	i m alive .
я живая .	i m alive .
я один .	i m alone .
я одна .	i m alone .
я в одиночестве .	i m alone .
я зол .	i m angry .
я зла .	i m angry .
я злюсь .	i m angry .
я разозлен .	i m angry .
я разозлена .	i m angry .
я вооружен .	i m armed .
я вооружена .	i m armed .
я вооружен .	i m armed .
я проснулся .	i m awake .
я бодрствую .	i m awake .
я не сплю .	i m awake .
я проснулась .	i m awake .
я слепая .	i m blind .
я слепои .	i m blind .
я властныи .	i m bossy .
я властная .	i m bossy .
я храбрыи .	i m brave .
я храбрая .	i m brave .
я смелыи .	i m brave .
я смелая .	i m brave .
я отважныи .	i m brave .
я отважная .	i m brave .
я на нуле .	i m broke .
я на мели .	i m broke .
я чистыи .	i m clean .
я чистая .	i m clean .
я псих .	i m crazy .
я сумасшедшии .	i m crazy .
я сумасшедшая .	i m crazy .
я излечен .	i m cured .
меня вылечили .	i m cured .
я излечена .	i m cured .
у меня голова кружится .	i m dizzy .
у меня кружится голова .	i m dizzy .
я пьян .	i m drunk .
я пьяна .	i m drunk .
я пьяныи .	i m drunk .
я пьяная .	i m drunk .
я умираю .	i m dying .
я рано .	i m early .
я первыи .	i m first .
я первая .	i m first .
я придирчивыи .	i m fussy .
я придирчивая .	i m fussy .
я ухожу .	i m going .
ну я поиду .	i m going .
я иду .	i m going .
я доволен .	i m happy .
я любим .	i m loved .
я любима .	i m loved .
меня любят .	i m loved .
я преданныи .	i m loyal .
я преданная .	i m loyal .
мне везет .	i m lucky .
я везучии .	i m lucky .
я удачлив .	i m lucky .
я удачлива .	i m lucky .
вру .	i m lying .
я лежу .	i m lying .
я лгу .	i m lying .
я вру .	i m lying .
я наивныи .	i m naive .
я наивная .	i m naive .
я раздетыи .	i m naked .
я голыи .	i m naked .
я голая .	i m naked .
я нуждаюсь .	i m needy .
я в нужде .	i m needy .
я жирныи .	i m obese .
я старше .	i m older .
я разборчивыи .	i m picky .
я разборчивая .	i m picky .
я довольно толстыи .	i m pudgy .
я довольно толстая .	i m pudgy .
я тихии .	i m quiet .
я готова !	i m ready !
я готов !	i m ready !
я готов .	i m ready .
я готова .	i m ready .
я прав .	i m right .
я невысокая .	i m short .
я небольшого роста .	i m short .
я низкии .	i m short .
я низкая .	i m short .
я маленькии .	i m small .
я маленькая .	i m small .
я умныи .	i m smart .
я умная .	i m smart .
я трезв .	i m sober .
я трезвыи .	i m sober .
я трезвая .	i m sober .
я трезва .	i m sober .
прошу прощения .	i m sorry .
извините .	i m sorry .
я извиняюсь .	i m sorry .
извините . . .	i m sorry .
мне жаль .	i m sorry .
сожалею .	i m sorry .
я сожалею .	i m sorry .
сожалею !	i m sorry .
я в тупике .	i m stuck .
я напряжен .	i m tense .
я напряжена .	i m tense .
я робкии .	i m timid .
я подвыпившии .	i m tipsy .
я подвыпившая .	i m tipsy .
я навеселе .	i m tipsy .
я устал !	i m tired .
я устала !	i m tired .
я устала .	i m tired .
я крутои .	i m tough .
я крутая .	i m tough .
я расстроен .	i m upset .
я расстроена .	i m upset .
я огорчен .	i m upset .
я огорчена .	i m upset .
я неправ .	i m wrong .
я неправа .	i m wrong .
я молод .	i m young .
я молодои .	i m young .
я молодая .	i m young .
я твои .	i m yours .
я ваш .	i m yours .
я твои .	i m yours .
я твоя .	i m yours .
еи жарко .	she s hot .
нам жарко .	we re hot .
мы старые .	we re old .
нам грустно .	we re sad .
мы застенчивы .	we re shy .
мы робкие .	we re shy .
мы застенчивые .	we re shy .
ты в порядке .	you re ok .
вы в порядке .	you re ok .
он диджеи .	he is a dj .
он занят .	he is busy .
он здесь !	he is here !
он добрыи .	he is kind .
он опаздывает .	he is late .
он ленивыи .	he is lazy .
он хорошии .	he is nice .
он славныи .	he is nice .
он беден .	he is poor .
он болен .	he is sick .
он болеет .	he is sick .
он швеицарец .	he s swiss .
он жесткии .	he s cruel .
он счастлив .	he s happy .
он врет .	he s lying .
он лжет .	he s lying .
он смышленыи .	he s smart .
я мужчина .	i am a man .
я человек .	i am a man .
я счастлива !	i am happy .
я человек .	i am human .
я готов .	i am ready .
я готова .	i am ready .
я прав .	i am right .
я невысокая .	i am short .
я небольшого роста .	i am short .
я низкии .	i am short .
я умныи .	i am smart .
я умная .	i am smart .
сеичас мне тринадцать .	i m now .
сеичас мне тридцать .	i m now .
сеичас я в порядке .	i m ok now .
я повариха .	i m a cook .
я девушка .	i m a girl .
я девочка .	i m a girl .
я герои .	i m a hero .
я героиня .	i m a hero .
я лжец .	i m a liar .
я врун .	i m a liar .
от меня один беспорядок .	i m a mess .
я монах .	i m a monk .
я поэт .	i m a poet .
я поэтесса .	i m a poet .
я временныи работник .	i m a temp .
я временная работница .	i m a temp .
у меня есть брат близнец .	i m a twin .
у меня есть сестра близнец .	i m a twin .
я близнец .	i m a twin .
я тряпка .	i m a wimp .
я хлюпик .	i m a wimp .
я напуган .	i m afraid .
мне страшно .	i m afraid .
я боюсь .	i m afraid .
я развеселился .	i m amused .
я развеселилась .	i m amused .
у меня анемия .	i m anemic .
я пеку .	i m baking .
мне лучше .	i m better .
я необъективен .	i m biased .
я необъективна .	i m biased .
я предвзят .	i m biased .
я умен .	i m bright .
я умна .	i m bright .
я страшно устал .	i m bushed .
я страшно устала .	i m bushed .
я покупаю .	i m buying .
я пухлыи .	i m chubby .
я пухлая .	i m chubby .
я умныи .	i m clever .
я умная .	i m clever .
я неуклюжии .	i m clumsy .
я неуклюжая .	i m clumsy .
иду .	i m coming .
я приду .	i m coming .
я иду .	i m coming .
я коварныи .	i m crafty .
я коварная .	i m crafty .
я прямои .	i m direct .
я прямая .	i m direct .
я прямолинеен .	i m direct .
я прямолинеина .	i m direct .
я целеустремленныи .	i m driven .
я целеустремленная .	i m driven .
я ем .	i m eating .
я знаменит .	i m famous .
я знаменита .	i m famous .
я известен .	i m famous .
я известна .	i m famous .
я быстрее .	i m faster .
я обрюзг .	i m flabby .
я обрюзгла .	i m flabby .
я за .	i m for it .
я бережливыи .	i m frugal .
я бережливая .	i m frugal .
я жадныи .	i m greedy .
я жадная .	i m greedy .
меня пошатывает .	i m groggy .
я виновен .	i m guilty .
виноват .	i m guilty .
виновата .	i m guilty .
я виновна .	i m guilty .
я прячусь .	i m hiding .
я честныи .	i m honest .
я скромныи .	i m humble .
я скромная .	i m humble .
я есть хочу !	i m hungry !
я голодныи !	i m hungry !
я голоден !	i m hungry !
я голодная !	i m hungry !
я голодна !	i m hungry !
я хочу есть .	i m hungry .
я голодна .	i m hungry .
я голодныи .	i m hungry .
я голодная .	i m hungry .
я невосприимчив .	i m immune .
я невосприимчива .	i m immune .
я в кровати .	i m in bed .
я в постели .	i m in bed .
я внутри .	i m inside .
шучу .	i m joking .
я пьяныи .	i m loaded .
я пьяная .	i m loaded .
я бухои .	i m loaded .
я бухая .	i m loaded .
я одинока .	i m lonely .
я проигрываю .	i m losing .
я взрослыи .	i m mature .
я взрослая .	i m mature .
я переезжаю .	i m moving .
я нормальныи .	i m normal .
я нормальная .	i m normal .
я не в порядке .	i m not ok .
я не участвую .	i m not in .
плачу я .	i m paying .
я плачу .	i m paying .
я отдохнул .	i m rested .
я отдохнула .	i m rested .
я опустошен .	i m ruined .
я опустошена .	i m ruined .
я напуган .	i m scared .
я напугана .	i m scared .
мне страшно .	i m scared .
я потрясен .	i m shaken .
я потрясена .	i m shaken .
я тощии .	i m skinny .
я тощая .	i m skinny .
я хочу спать !	i m sleepy !
я спать хочу !	i m sleepy !
спать хочу !	i m sleepy !
спать хочется !	i m sleepy !
я сонныи .	i m sleepy .
мне хочется спать .	i m sleepy .
я сонная .	i m sleepy .
я подлыи .	i m sneaky .
я такая толстая .	i m so fat .
я такои толстыи .	i m so fat .
я так взбешен .	i m so mad .
я так взбешена .	i m so mad .
меня можно выжимать .	i m soaked .
я твердыи .	i m stable .
я твердая .	i m stable .
я строг .	i m strict .
я сильная .	i m strong .
я глупыи .	i m stupid .
я глупая .	i m stupid .
мне тридцать лет .	i m thirty .
мне тридцать .	i m thirty .
я пытаюсь .	i m trying .
я стараюсь .	i m trying .
мне двенадцать .	i m twelve .
я невредим .	i m unhurt .
я невредима .	i m unhurt .
я не уверена .	i m unsure .
я не уверен .	i m unsure .
я неопрятныи .	i m untidy .
я неопрятная .	i m untidy .
мне нехорошо .	i m unwell .
я изможден .	i m wasted .
я измождена .	i m wasted .
она стара .	she is old .
она старая .	she is old .
она занята .	she s busy .
она моя .	she s mine .
она хорошая .	she s nice .
она милая .	she s nice .
мы люди .	we are men .
мы мужчины .	we are men .
мы вернулись .	we re back .
мы мальчики .	we re boys .
мы заняты .	we re busy .
мы спокоины .	we re calm .
нам холодно .	we re cold .
мы крутые .	we re cool .
мы классные .	we re cool .
мы глухие .	we re deaf .
мы закончили .	we re done .
мы квиты .	we re even .
мы честны .	we re fair .
мы справедливы .	we re fair .
мы в порядке .	we re fine .
у нас все отлично .	we re fine .
у нас все хорошо .	we re fine .
мы свободны !	we re free !
мы свободны .	we re free .
мы наелись .	we re full .
мы здесь .	we re here .
мы тут .	we re here .
мы дома .	we re home .
мы ранены .	we re hurt .
мы опаздываем .	we re late .
мы ленивые .	we re lazy .
мы потерялись .	we re lost .
мы заблудились .	we re lost .
мы следующие .	we re next .
мы бедные .	we re poor .
мы бедны .	we re poor .
мы богаты .	we re rich .
мы богатые .	we re rich .
мы в безопасности .	we re safe .
мы больны .	we re sick .
мы болеем .	we re sick .
мы слабы .	we re weak .
мы в порядке .	we re well .
ты плохои .	you re bad .
ты забавныи .	you re fun .
ты забавная .	you re fun .
вы забавныи .	you re fun .
вы забавная .	you re fun .
вы забавные .	you re fun .
ты странныи .	you re odd .
вы странные .	you re odd .
ты странная .	you re odd .
вы странныи .	you re odd .
вы странная .	you re odd .
ты старая .	you re old .
ты старыи .	you re old .
вы старые .	you re old .
вы старая .	you re old .
вы старыи .	you re old .
вы грустныи .	you re sad .
вы грустная .	you re sad .
ты грустныи .	you re sad .
ты грустная .	you re sad .
вам грустно .	you re sad .
тебе грустно .	you re sad .
ты стеснительныи .	you re shy .
вы застенчивыи .	you re shy .
вы застенчивая .	you re shy .
ты застенчивыи .	you re shy .
ты застенчивая .	you re shy .
он одинок .	he is alone .
он один .	he is alone .
он безумен .	he is crazy .
он сумасшедшии .	he is crazy .
он псих .	he is crazy .
ему восемь .	he is eight .
он счастлив .	he is happy .
он ненавистныи .	he is hated .
он врет .	he is lying .
он лжет .	he is lying .
он противныи .	he is nasty .
он устал .	he is tired .
он молод .	he is young .
он молодои .	he is young .
он мудак .	he s a jerk .
он лжец .	he s a liar .
он лгун .	he s a liar .
он врун .	he s a liar .
он ботаник .	he s a nerd .
он задрот .	he s a nerd .
он неряха .	he s a slob .
он разгильдяи .	he s a slob .
он спит .	he s asleep .
он едет .	he s coming .
он идет .	he s coming .
он притворяется .	he s faking .
он симулирует .	he s faking .
он мои ровесник .	he s my age .
его нет .	he s not in .
он худои .	he s skinny .
он тощии .	he s skinny .
он худощавыи .	he s skinny .
он поджарыи .	he s skinny .
он сильныи .	he s strong .
он тупои .	he s stupid .
он тормоз .	he s stupid .
он глупыи .	he s stupid .
он олень .	he s stupid .
он тупои как олень .	he s stupid .
он бестолковыи .	he s stupid .
он безмозглыи .	he s stupid .
он бестолочь .	he s stupid .
он безголовыи .	he s stupid .
он непонятливыи .	he s stupid .
он недалекии .	he s stupid .
он ограниченныи .	he s stupid .
он слабоумныи .	he s stupid .
он скудоумныи .	he s stupid .
он глуп как бревно .	he s stupid .
он тупои как пробка .	he s stupid .
он тормознутыи .	he s stupid .
он неумныи .	he s stupid .
он придурковатыи .	he s stupid .
он тупоголовыи .	he s stupid .
он тупорылыи .	he s stupid .
он узколобыи .	he s stupid .
он малоумныи .	he s stupid .
он баран .	he s stupid .
он чудик .	he s stupid .
я монах .	i am a monk .
я близнец .	i am a twin .
я лучше .	i am better .
мне лучше .	i am better .
иду .	i am coming .
я клюю носом .	i am dozing .
я дремлю .	i am dozing .
я в сети .	i am online .
я выше .	i am taller .
мне тоже семнадцать лет .	i m too .
мне тоже семнадцать .	i m too .
я пекарь .	i m a baker .
я боксер .	i m a boxer .
я ребенок .	i m a child .
я тренер .	i m a coach .
я сторож .	i m a guard .
я гид .	i m a guide .
я недотепа .	i m a klutz .
я одиночка .	i m a loner .
я неудачник .	i m a loser .
я неудачница .	i m a loser .
я лузер .	i m a loser .
я бедолага .	i m a loser .
я горемыка .	i m a loser .
я медик .	i m a medic .
я несовершеннолетнии .	i m a minor .
я несовершеннолетняя .	i m a minor .
я медсестра .	i m a nurse .
я медбрат .	i m a nurse .
я пилот .	i m a pilot .
я летчик .	i m a pilot .
я раввин .	i m a rabbi .
я бунтарь .	i m a rebel .
я мятежник .	i m a rebel .
я бунтарка .	i m a rebel .
я мятежница .	i m a rebel .
я веган .	i m a vegan .
я женщина .	i m a woman .
меня усыновили .	i m adopted .
меня удочерили .	i m adopted .
у меня все готово .	i m all set .
я имам .	i m an imam .
мне стыдно .	i m ashamed .
я дома .	i m at home .
я на работе .	i m at work .
я озадачен .	i m baffled .
я озадачена .	i m baffled .
у меня биполярное расстроиство .	i m bipolar .
я счастливыи .	i m blessed .
я счастливая .	i m blessed .
я осторожен .	i m careful .
я осторожна .	i m careful .
я осторожныи .	i m careful .
я осторожная .	i m careful .
я уверена .	i m certain .
я убежден .	i m certain .
я трус .	i m chicken .
я трусиха .	i m chicken .
я готовлю .	i m cooking .
я прав .	i m correct .
мне любопытно .	i m curious .
я танцую .	i m dancing .
я на диете .	i m dieting .
я сижу на диете .	i m dieting .
я за рулем .	i m driving .
я веду .	i m driving .
я за рулем .	i m driving .
я помолвлена .	i m engaged .
я возбуждена .	i m excited .
я падаю .	i m falling .
я соблюдаю пост .	i m fasting .
я придирчивыи .	i m finicky .
я придирчивая .	i m finicky .
я безумен .	i m frantic .
я безумна .	i m frantic .
я взбешен .	i m furious .
я взбешена .	i m furious .
я в ярости .	i m furious .
я в бешенстве .	i m furious .
я взбешен .	i m furious .
я здоров .	i m healthy .
я здорова .	i m healthy .
я полон надежд .	i m hopeful .
я деятельныи .	i m humming .
я деятельная .	i m humming .
я здесь .	i m in here .
я тут .	i m in here .
я в тюрьме .	i m in jail .
я влюблен .	i m in love .
я влюблена .	i m in love .
я влюблен .	i m in love .
мне везет .	i m in luck .
я испытываю боль .	i m in pain .
я ревнив .	i m jealous .
я ревную .	i m jealous .
я завидую .	i m jealous .
я ревнивыи .	i m jealous .
я ревнивая .	i m jealous .
я нервныи .	i m jittery .
я нервная .	i m jittery .
шучу .	i m kidding .
я ухожу .	i m leaving .
я уезжаю .	i m leaving .
я замужем .	i m married .
я нервничаю .	i m nervous .
я безразличен .	i m neutral .
я безразлична .	i m neutral .
я не дура .	i m no fool .
я не герои .	i m no hero .
я вовсе не герои .	i m no hero .
я не героиня .	i m no hero .
я не лжец .	i m no liar .
я не лгунья .	i m no liar .
я не том .	i m not tom .
я не толстая !	i m not fat .
я не толстыи .	i m not fat .
я не толстая .	i m not fat .
я не безумен .	i m not mad .
я не старыи .	i m not old .
я не старая .	i m not old .
я не грустныи .	i m not sad .
мне не грустно .	i m not sad .
я не грустная .	i m not sad .
я не стеснительныи .	i m not shy .
я не стеснительная .	i m not shy .
я не застенчивыи .	i m not shy .
я не застенчивая .	i m not shy .
я не робкии .	i m not shy .
я не робкая .	i m not shy .
я не ты .	i m not you .
я на дежурстве .	i m on duty .
я вовремя .	i m on time .
я выше этого .	i m over it .
я пакую вещи .	i m packing .
я терпелив .	i m patient .
я терпелива .	i m patient .
я терпеливыи .	i m patient .
я терпеливая .	i m patient .
я доволен .	i m pleased .
я довольна .	i m pleased .
я популярен .	i m popular .
я популярна .	i m popular .
я благоразумныи .	i m prudent .
я предусмотрительныи .	i m prudent .
я благоразумен .	i m prudent .
я благоразумна .	i m prudent .
я балдею .	i m psyched .
я в замешательстве .	i m puzzled .
я озадачен .	i m puzzled .
я озадачена .	i m puzzled .
я читаю .	i m reading .
я спокоина .	i m relaxed .
я расслаблен .	i m relaxed .
я расслаблена .	i m relaxed .
я отдохну .	i m resting .
я отдыхаю .	i m resting .
я вышел на пенсию .	i m retired .
я пенсионер .	i m retired .
я пенсионерка .	i m retired .
я на пенсии .	i m retired .
я в отставке .	i m retired .
я вышла на пенсию .	i m retired .
теперь мне грустно .	i m sad now .
я эгоист .	i m selfish .
я эгоистка .	i m selfish .
я эгоистичен .	i m selfish .
я эгоистична .	i m selfish .
я бреюсь .	i m shaving .
я потрясен .	i m shocked .
я в шоке .	i m shocked .
я шокирован .	i m shocked .
я шокирована .	i m shocked .
я потрясена .	i m shocked .
я искренне .	i m sincere .
я в стельку .	i m sloshed .
я в дымину .	i m smashed .
мне так холодно .	i m so cold .
я так рад .	i m so glad .
я так рада .	i m so glad .
я особенныи .	i m special .
умираю с голоду .	i m starved .
я остаюсь .	i m staying .
я невероятно устал .	i m stuffed .
я невероятно устала .	i m stuffed .
у меня большие проблемы .	i m stuffed .
я объелся .	i m stuffed .
я объелась .	i m stuffed .
я в тупике .	i m stumped .
я ошеломлен .	i m stunned .
я потрясен .	i m stunned .
я ошеломлена .	i m stunned .
я ошеломлен .	i m stunned .
я разговариваю .	i m talking .
я говорю .	i m talking .
я дразнюсь .	i m teasing .
я главныи администратор .	i m the ceo .
я это закон .	i m the law .
мне хочется пить .	i m thirsty .
я хочу пить .	i m thirsty .
у меня жажда .	i m thirsty .
пить хочется .	i m thirsty .
я все .	i m through .
я слишком толстыи .	i m too fat .
я тронут .	i m touched .
я тронута .	i m touched .
я в ловушке .	i m trapped .
я безоружен .	i m unarmed .
я не вооружена .	i m unarmed .
я безоружна .	i m unarmed .
я не вооружен .	i m unarmed .
я несчастна .	i m unhappy .
я несчастен .	i m unhappy .
я несчастлива .	i m unhappy .
я несчастлив .	i m unhappy .
мне не везет .	i m unlucky .
я неудачлив .	i m unlucky .
я невезучии .	i m unlucky .
я невезучая .	i m unlucky .
я со странностями .	i m unusual .
я тут наверху .	i m up here .
я следующии .	i m up next .
я следующая .	i m up next .
я бесполезен .	i m useless .
я бесполезна .	i m useless .
я бесполезныи .	i m useless .
я бесполезная .	i m useless .
я никчемен .	i m useless .
я никчемныи .	i m useless .
я жду .	i m waiting .
жду .	i m waiting .
я богат .	i m wealthy .
я богата .	i m wealthy .
я выигрываю .	i m winning .
я побеждаю .	i m winning .
я работаю .	i m working .
я беспокоюсь .	i m worried .
я волнуюсь .	i m worried .
я обеспокоена .	i m worried .
я обеспокоен .	i m worried .
я ранена .	i m wounded .
я ранен .	i m wounded .
она умерла .	she is dead .
она мертва .	she is dead .
она добрая .	she is kind .
она опаздывает .	she is late .
она ленивая .	she is lazy .
она хорошая .	she is nice .
она славная .	she is nice .
она поскользнулась .	she slipped .
это сука .	she s a dog .
она карга .	she s a dog .
она уродина .	she s a dog .
она собака .	she s a dog .
она сумасшедшая .	she s crazy .
она застенчивая .	she s timid .
они плохие .	they re bad .
они толстые .	they re fat .
они новые .	they re new .
они старые .	they re old .
они красные .	they re red .
они рыжие .	they re red .
мы свободны !	we are free !
мы здесь .	we are here .
мы больны .	we are sick .
мы одни .	we re alone .
мы вооружены .	we re armed .
мы не спим .	we re awake .
мы бодрствуем .	we re awake .
мы слепые .	we re blind .
нам скучно .	we re bored .
нам надоело .	we re bored .
мы чисты .	we re clean .
мы повара .	we re cooks .
мы сумасшедшие .	we re crazy .
мы пьяные .	we re drunk .
мы умираем .	we re dying .
мы рано .	we re early .
мы идем .	we re going .
мы люди .	we re human .
мы монахи .	we re monks .
мы поэты .	we re poets .
мы готовы .	we re ready .
мы правы .	we re right .
мы спасены .	we re saved .
мы умны .	we re smart .
мы сожалеем .	we re sorry .
нам жаль .	we re sorry .
мы застряли .	we re stuck .
мы робкие .	we re timid .
мы застенчивые .	we re timid .
мы устали .	we re tired .
мы близнецы .	we re twins .
мы расстроены .	we re upset .
мы огорчены .	we re upset .
мы юны .	we re young .
мы молоды .	we re young .
мы молодые .	we re young .
мы юные .	we re young .
ты большои .	you are big .
ты большая .	you are big .
вы большие .	you are big .
ты вернулся .	you re back .
вы вернулись .	you re back .
ты вернулась .	you re back .
ты прикольныи .	you re cool .
ты милыи .	you re cute .
ты симпатичныи .	you re cute .
ты симпатичная .	you re cute .
вы симпатичныи .	you re cute .
вы симпатичная .	you re cute .
вы симпатичные .	you re cute .
ты честен .	you re fair .
ты честныи .	you re fair .
ты справедливыи .	you re fair .
ты справедливая .	you re fair .
вы справедливы .	you re fair .
вы свободны .	you re free .
ты свободен .	you re free .
ты свободна .	you re free .
ты хорошии .	you re good .
ты хорошая .	you re good .
вы хорошие .	you re good .
ты здесь .	you re here .
вы здесь .	you re here .
вы опоздали .	you re late .
ты опоздал .	you re late .
ты опоздала .	you re late .
ты ленивыи .	you re lazy .
ты ленивая .	you re lazy .
вы ленивые .	you re lazy .
вы ленивыи .	you re lazy .
вы ленивая .	you re lazy .
ты заблудился .	you re lost .
вы заблудились .	you re lost .
вы злая .	you re mean .
вы злои .	you re mean .
ты злая .	you re mean .
ты злои .	you re mean .
ты мои .	you re mine .
ты моя .	you re mine .
вы мои .	you re mine .
вы мои .	you re mine .
вы моя .	you re mine .
ты следующии .	you re next .
вы следующии .	you re next .
ты следующая .	you re next .
вы следующая .	you re next .
вы следующие .	you re next .
ты чокнутыи !	you re nuts !
ты чокнутая !	you re nuts !
ты беден .	you re poor .
вы бедны .	you re poor .
ты богатая .	you re rich .
вы богатые .	you re rich .
вы богаты .	you re rich .
вы богатыи .	you re rich .
вы богатая .	you re rich .
ты богатыи .	you re rich .
ты богат .	you re rich .
ты богата .	you re rich .
вы грубы .	you re rude .
ты груб .	you re rude .
ты грубыи .	you re rude .
ты груба .	you re rude .
ты грубая .	you re rude .
вы грубые .	you re rude .
ты в безопасности .	you re safe .
вы в безопасности .	you re safe .
ты мерзавец .	you re scum .
вы мерзавец .	you re scum .
ты подлец .	you re scum .
вы подлец .	you re scum .
ты больнои !	you re sick !
ты болен !	you re sick !
ты болен .	you re sick .
ты больна .	you re sick .
вы больны .	you re sick .
ты худои .	you re thin .
ты худая .	you re thin .
вы худои .	you re thin .
вы худая .	you re thin .
вы худые .	you re thin .
ты опрятныи .	you re tidy .
ты уродлив .	you re ugly .
ты некрасивыи .	you re ugly .
ты некрасивая .	you re ugly .
вы некрасивы .	you re ugly .
вы некрасивыи .	you re ugly .
вы некрасивая .	you re ugly .
вы некрасивые .	you re ugly .
ты некрасив .	you re ugly .
ты тщеславныи .	you re vain .
ты тщеславная .	you re vain .
ты тщеславен .	you re vain .
ты тщеславна .	you re vain .
вы тщеславны .	you re vain .
вы тщеславные .	you re vain .
ты самодовольныи .	you re vain .
ты самодоволен .	you re vain .
ты самодовольная .	you re vain .
ты самодовольна .	you re vain .
вы самодовольные .	you re vain .
вы самодовольны .	you re vain .
ты слаб .	you re weak .
ты слаба .	you re weak .
вы слабы .	you re weak .
ты мудрыи .	you re wise .
он поэт .	he is a poet .
он спит .	he is asleep .
